,created_at,likes,retweets,source,text
0,2019-10-29 20:54:45,5475.0,947.0,Twitter for iPhone,I would like to particularly thank His Majesty @KingSalman and His Royal Highness the Crown Prince for their hospit… https://t.co/QIjiaWQx5Z
1,2019-10-29 20:54:34,7422.0,1163.0,Twitter for iPhone,I am extremely grateful to the people and Government of Saudi Arabia for their excellent hospitality. I am honoured… https://t.co/xuW95TF8bU
2,2019-10-29 20:52:32,4482.0,744.0,Twitter for iPhone,"أشعر بامتنان كبير للسعودية شعبا وحكومة 
لكرم الضيافة.تشرفت بأن سنحت لي الفرصة لإلقاء خطاب أمام FIIKSA@  . وكان التو… https://t.co/kqJuQ8AcKe"
3,2019-10-29 19:01:53,7744.0,1367.0,Twitter for iPhone,It is always a delight to meet His Royal Highness Prince Mohammed bin Salman bin Abdulaziz. His vision for Saudi Ar… https://t.co/GXNYT7Ho5o
4,2019-10-29 19:00:07,5351.0,1160.0,Twitter for iPhone,أسعد دوما بلقاء صاحب السمو الملكي الأمير محمد بن سلمان بن عبدالعزيز. يمتلك رؤية متميزة للملكة العربية السعودية.عقدن… https://t.co/PqsoQc44vN
5,2019-10-29 18:58:38,3781.0,786.0,Twitter for iPhone,Honoured to have addressed the @FIIKSA. Here are some pictures from the evening. https://t.co/FWhUIUHoJ5
6,2019-10-29 18:56:02,13973.0,2631.0,Twitter Media Studio,"India has:

Political stability. 

Predictable policies. 

Diverse markets. 

This is a great time to invest and do… https://t.co/l9Qo3wU4EM"
7,2019-10-29 18:55:24,4552.0,979.0,Twitter Media Studio,The need of the hour today- compassion towards the environment. https://t.co/9VuW61XJqs
8,2019-10-29 18:54:52,4190.0,920.0,Twitter Media Studio,"Infrastructure is an opportunity multiplier. 

We in India are leaving no stone unturned to build next-generation i… https://t.co/6IEZlC6SFR"
9,2019-10-29 18:54:27,4460.0,956.0,Twitter Media Studio,Five trends that will influence global business in the 21st century. https://t.co/brUZWhTTp2
10,2019-10-29 16:40:36,9380.0,1600.0,Twitter for iPhone,Called on His Majesty @KingSalman. He is one of the most widely respected leaders. We discussed multiple aspects re… https://t.co/GpSKuzSzcB
11,2019-10-29 16:35:13,11318.0,2049.0,Twitter for iPhone,التقيت بصاحب الجلالة KingSalman@. إنه أحد أكثر القادة احتراما على مستوى واسع.ناقشنا مختلف النواحي المرتبطة بدعم الت… https://t.co/ES0bjc2AgY
12,2019-10-29 16:25:37,6413.0,1157.0,Twitter for iPhone,"Interacted with HE Ahmad Bin Salman Al Rajhi, Saudi Arabia’s Minister of Labour and Social Development. A wide rang… https://t.co/TRu0ViwPFK"
13,2019-10-29 16:22:32,5071.0,861.0,Twitter for iPhone,"عقدت لقاء مع سعادة وزير القوى العاملة 
والتنمية الاجتماعية السعودي أحمد بن سلمان الراجحي. تناولنا خلال اللقاء عدد ك… https://t.co/rV3G5oiNDJ"
14,2019-10-29 15:07:59,11728.0,2723.0,Periscope,Speaking at @FIIKSA in Riyadh. Watch. https://t.co/IJwikcnX6L
15,2019-10-29 14:05:42,11124.0,1755.0,Twitter for iPhone,"Adding even more energy to the India-Saudi Arabia friendship. 

I had an excellent meeting with HRH Prince Abdulazi… https://t.co/sE17I4HosI"
16,2019-10-29 14:04:45,10358.0,1425.0,Twitter for iPhone,"سوف تساهم الزيارة في دعم أواصر  الصداقة 
بين الهند والسعودية. 

عقدت اجتماعا متميزا مع صاحب السمو الملكي الأمير عبد… https://t.co/8jhZfJsIq5"
17,2019-10-29 13:43:43,7759.0,1377.0,Twitter for iPhone,"Wonderful meeting with HE @AlfadleyA, Minister of Environment, Water and Agriculture. These are sectors in which th… https://t.co/OXh4S37H3l"
18,2019-10-29 13:41:55,5256.0,908.0,Twitter for iPhone,"عقدت لقاء رائع مع سعادة وزير البيئة و المياه 
 @AlfadleyA والزراعة  

.هناك المزيد من فرص التعاون المشترك في هذه ال… https://t.co/C56Uw6WCZK"
19,2019-10-29 13:15:08,13082.0,1851.0,Twitter for iPhone,Excellent meeting with His Majesty @KingAbdullahII in Riyadh. We discussed the full range of relations between Indi… https://t.co/ntm9VY6kA2
20,2019-10-29 13:14:02,9371.0,1259.0,Twitter for iPhone,لقاء ممتاز مع صاحب الجلالة KingAbdullahII@ في الرياض.ناقشنا مختلف أوجه التعاون بين الهند والأردن. https://t.co/2779r7PvcG
21,2019-10-29 07:31:30,21067.0,3427.0,Twitter for iPhone,"Sharing my interview with @arabnews, where I spoke about robust ties between India and Saudi Arabia, the reform tra… https://t.co/x2IkzKzDN9"
